Index,model,trial,AS_train,PS_train,RS_train,AS_test,PS_test,RS_test
66,ARO,trial9,0.94934,0.95051,0.94934,0.92982,0.93731,0.92982
67,EFO,trial9,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
68,TLO,trial9,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
69,SMA,trial9,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
70,AAEO,trial9,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
71,RUN,trial9,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
72,GA,trial10,0.95595,0.95587,0.95595,0.94737,0.94902,0.94737
73,HGS,trial10,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
74,ARO,trial10,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
75,EFO,trial10,0.94934,0.94924,0.94934,0.9386,0.93928,0.9386
76,TLO,trial10,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
77,SMA,trial10,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
78,AAEO,trial10,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
79,RUN,trial10,0.94273,0.94262,0.94273,0.9386,0.93928,0.9386
