Index,model,trial,AS_train,PS_train,RS_train,AS_test,PS_test,RS_test
61,SMA,trial8,0.91106,0.9111,0.91106,0.88846,0.88848,0.88846
62,AAEO,trial8,0.91875,0.91899,0.91875,0.86731,0.86736,0.86731
63,RUN,trial8,0.92163,0.9217,0.92163,0.86923,0.86958,0.86923
64,GA,trial9,0.9149,0.91493,0.9149,0.86923,0.86923,0.86923
65,HGS,trial9,0.91202,0.91203,0.91202,0.88462,0.88482,0.88462
66,ARO,trial9,0.91779,0.91785,0.91779,0.9,0.90038,0.9
67,EFO,trial9,0.89087,0.891,0.89087,0.82692,0.82694,0.82692
68,TLO,trial9,0.91106,0.91119,0.91106,0.88077,0.88113,0.88077
69,SMA,trial9,0.90817,0.90819,0.90817,0.87115,0.87116,0.87115
70,AAEO,trial9,0.9125,0.9126,0.9125,0.87308,0.8731,0.87308
71,RUN,trial9,0.9149,0.91527,0.9149,0.83077,0.83095,0.83077
72,GA,trial10,0.89375,0.89391,0.89375,0.82885,0.82994,0.82885
73,HGS,trial10,0.91394,0.91405,0.91394,0.86538,0.86538,0.86538
74,ARO,trial10,0.93269,0.93275,0.93269,0.90577,0.90626,0.90577
75,EFO,trial10,0.89038,0.89039,0.89038,0.83077,0.83126,0.83077
76,TLO,trial10,0.92115,0.92123,0.92115,0.87692,0.87701,0.87692
77,SMA,trial10,0.91779,0.91784,0.91779,0.88269,0.88283,0.88269
78,AAEO,trial10,0.92548,0.92557,0.92548,0.89423,0.8947,0.89423
79,RUN,trial10,0.91346,0.91354,0.91346,0.86346,0.86347,0.86346
